Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","2009","2009","1000 ha","384257","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","2010","2010","1000 ha","376372","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6670","Other land","2010","2010","1000 ha","240103.9","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6670","Other land","2011","2011","1000 ha","228301.62","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","2011","2011","1000 ha","396121","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","2012","2012","1000 ha","387076","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6670","Other land","2012","2012","1000 ha","231790.54","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6670","Other land","2013","2013","1000 ha","239939.56","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","2013","2013","1000 ha","371775","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","2014","2014","1000 ha","374423","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6670","Other land","2014","2014","1000 ha","229576.18","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6670","Other land","2015","2015","1000 ha","269222.5","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","2015","2015","1000 ha","348119","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","2016","2016","1000 ha","342602","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6670","Other land","2016","2016","1000 ha","264086.8","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6670","Other land","2017","2017","1000 ha","241387.6","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","2017","2017","1000 ha","371837","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","358895","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6670","Other land","2018","2018","1000 ha","257114.9","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6670","Other land","2019","2019","1000 ha","251395.9","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","2019","2019","1000 ha","362477","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","2020","2020","1000 ha","355775","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6670","Other land","2020","2020","1000 ha","258194.9","I","Imputed value"
