Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,2010,2010,1000 persons,18842.292,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,2011,2011,1000 persons,19175.331,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,2011,2011,1000 persons,3304.468,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,2012,2012,1000 persons,3331.639,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,2012,2012,1000 persons,19490.21,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,2013,2013,1000 persons,19794.324,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,2013,2013,1000 persons,3356.405,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,2014,2014,1000 persons,3379.903,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,2014,2014,1000 persons,20094.765,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,2015,2015,1000 persons,20396.531,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,2015,2015,1000 persons,3403.025,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,2016,2016,1000 persons,3425.805,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,2016,2016,1000 persons,20700.043,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,2017,2017,1000 persons,21003.923,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,2017,2017,1000 persons,3446.638,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,2018,2018,1000 persons,3465.207,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,2018,2018,1000 persons,21307.04,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,2019,2019,1000 persons,21607.414,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,2019,2019,1000 persons,3481.222,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,2020,2020,1000 persons,3494.472,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,2020,2020,1000 persons,21903.705,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,2021,2021,1000 persons,22195.539,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,2021,2021,1000 persons,3504.916,X,Figure from international organizations,
