Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1976","1976","1000 ha","14472","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1977","1977","1000 ha","14843","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1977","1977","1000 ha","167","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1977","1977","1000 ha","476500","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1978","1978","1000 ha","479300","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1978","1978","1000 ha","165","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1978","1978","1000 ha","16635","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1979","1979","1000 ha","17270","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1979","1979","1000 ha","168","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1979","1979","1000 ha","475800","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1980","1980","1000 ha","477684","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1980","1980","1000 ha","168","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1980","1980","1000 ha","17786","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1981","1981","1000 ha","18226","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1981","1981","1000 ha","170","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1981","1981","1000 ha","477169","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1982","1982","1000 ha","471159","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1982","1982","1000 ha","170","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1982","1982","1000 ha","19443","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1983","1983","1000 ha","19249","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1983","1983","1000 ha","172","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1983","1983","1000 ha","464368","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1984","1984","1000 ha","464647","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1984","1984","1000 ha","172","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1984","1984","1000 ha","21739","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1985","1985","1000 ha","20963","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1985","1985","1000 ha","173","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1985","1985","1000 ha","465655","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1986","1986","1000 ha","447688","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1986","1986","1000 ha","176","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1986","1986","1000 ha","20677","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1987","1987","1000 ha","19600","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1987","1987","1000 ha","165","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1987","1987","1000 ha","451255","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1988","1988","1000 ha","453693","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1988","1988","1000 ha","223","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1988","1988","1000 ha","18136","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1989","1989","1000 ha","17527","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1989","1989","1000 ha","177","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1989","1989","1000 ha","449400","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1990","1990","1000 ha","447300","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1990","1990","1000 ha","181","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1990","1990","1000 ha","16956","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1991","1991","1000 ha","17208","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1991","1991","1000 ha","174","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1991","1991","1000 ha","445400","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1992","1992","1000 ha","449600","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1992","1992","1000 ha","178","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1992","1992","1000 ha","16226","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1993","1993","1000 ha","17111","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1993","1993","1000 ha","186","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1993","1993","1000 ha","442800","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1994","1994","1000 ha","451100","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1994","1994","1000 ha","200","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1994","1994","1000 ha","17843","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1995","1995","1000 ha","16837","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1995","1995","1000 ha","203","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1995","1995","1000 ha","446348","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1996","1996","1000 ha","445821","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1996","1996","1000 ha","216","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1996","1996","1000 ha","19193","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1997","1997","1000 ha","20904","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1997","1997","1000 ha","229","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1997","1997","1000 ha","441100","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1998","1998","1000 ha","442286","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1998","1998","1000 ha","245","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1998","1998","1000 ha","21350","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1999","1999","1000 ha","22994","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1999","1999","1000 ha","270","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1999","1999","1000 ha","430429","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2000","2000","1000 ha","431700","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2000","2000","1000 ha","296","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2000","2000","1000 ha","23473","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2001","2001","1000 ha","24200","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2001","2001","1000 ha","320","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2001","2001","1000 ha","431180","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2002","2002","1000 ha","422940","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2002","2002","1000 ha","325","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2002","2002","1000 ha","23735","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2003","2003","1000 ha","23240","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2003","2003","1000 ha","335","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2003","2003","1000 ha","415925","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2004","2004","1000 ha","368826","E","Estimated value"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2004","2004","1000 ha","337","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2004","2004","1000 ha","25743","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2005","2005","1000 ha","26402","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2005","2005","1000 ha","340","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2005","2005","1000 ha","383488","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2006","2006","1000 ha","384737","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2006","2006","1000 ha","337","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2006","2006","1000 ha","24228","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2007","2007","1000 ha","23125","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2007","2007","1000 ha","405","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2007","2007","1000 ha","374825.5","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2008","2008","1000 ha","364914","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2008","2008","1000 ha","379.9","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2008","2008","1000 ha","23994.1","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2009","2009","1000 ha","27141.6","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2009","2009","1000 ha","369.4","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2009","2009","1000 ha","356746","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2010","2010","1000 ha","350404","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2010","2010","1000 ha","376.25","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2010","2010","1000 ha","25591.75","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2011","2011","1000 ha","31694.9","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2011","2011","1000 ha","383.1","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2011","2011","1000 ha","364043","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2012","2012","1000 ha","355083","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2012","2012","1000 ha","355.6","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2012","2012","1000 ha","31637.4","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2013","2013","1000 ha","31220.8","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2013","2013","1000 ha","390.2","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2013","2013","1000 ha","340164","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2014","2014","1000 ha","342116","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2014","2014","1000 ha","346.7","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2014","2014","1000 ha","31960.3","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2015","2015","1000 ha","31090.7","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2015","2015","1000 ha","306.3","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2015","2015","1000 ha","316722","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2016","2016","1000 ha","312224","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2016","2016","1000 ha","321","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2016","2016","1000 ha","30057","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2017","2017","1000 ha","30752","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2017","2017","1000 ha","322","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2017","2017","1000 ha","340763","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2018","2018","1000 ha","327589","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2018","2018","1000 ha","332","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2018","2018","1000 ha","30974","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2019","2019","1000 ha","30573","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2019","2019","1000 ha","347","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2019","2019","1000 ha","331557","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","2020","2020","1000 ha","324779","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","2020","2020","1000 ha","352","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","2020","2020","1000 ha","30644","I","Imputed value"
